date,time,Acc,EventAcc,TotalAcc,RInt
06/19/2023,16:07:30,0.00,0.00,6.17,0.00
06/19/2023,16:07:32,0.00,0.00,6.17,0.00
06/19/2023,16:08:02,0.00,0.00,6.17,0.00
06/19/2023,16:08:32,0.00,0.00,6.17,0.00
06/19/2023,16:09:02,0.00,0.00,6.17,0.00
06/19/2023,16:09:32,0.00,0.00,6.17,0.00
06/19/2023,16:10:03,0.00,0.00,6.17,0.00
06/19/2023,16:10:33,0.00,0.00,6.17,0.00
06/19/2023,16:11:03,0.00,0.00,6.17,0.00
06/19/2023,16:11:33,0.00,0.00,6.17,0.00
06/19/2023,16:12:02,0.00,0.00,6.17,0.00
06/19/2023,16:12:32,0.00,0.00,6.17,0.00
06/19/2023,16:13:02,0.00,0.00,6.17,0.00
06/19/2023,16:13:32,0.00,0.00,6.17,0.00
06/19/2023,16:14:02,mmph
06/19/2023,16:14:32,0.22,0.96,7.13,65.07
06/19/2023,16:15:03,0.07,1.44,7.61,82.72
06/19/2023,16:15:33,0.00,1.44,7.61,36.23
06/19/2023,16:16:02,0.00,1.44,7.61,0.00
06/19/2023,16:16:32,0.00,1.44,7.61,0.00
06/19/2023,16:17:02,0.00,1.44,7.61,0.00
06/19/2023,16:17:32,0.00,1.44,7.61,0.00
06/19/2023,16:18:03,0.00,1.44,7.61,0.00
06/19/2023,16:18:33,0.00,1.44,7.61,0.00
06/19/2023,16:19:02,0.00,1.44,7.61,0.00
06/19/2023,16:19:32,0.00,1.44,7.61,0.00
06/19/2023,16:20:02,0.00,1.44,7.61,0.00
06/19/2023,16:20:32,0.00,1.44,7.61,0.00
06/19/2023,16:21:02,0.00,1.44,7.61,0.00
06/19/2023,16:21:32,0.00,1.44,7.61,0.00
06/19/2023,16:22:03,0.00,1.44,7.61,0.00
06/19/2023,16:22:33,0.00,1.44,7.61,0.00
06/19/2023,16:23:02,0.00,1.44,7.61,0.00
06/19/2023,16:23:32,0.00,1.44,7.61,0.00
06/19/2023,16:24:02,0.00,1.44,7.61,0.00
06/19/2023,16:24:32,0.00,1.44,7.61,0.00
06/19/2023,16:25:02,0.00,1.44,7.61,0.00
06/19/2023,16:25:32,0.00,1.44,7.61,0.00
06/19/2023,16:26:03,0.00,1.44,7.61,0.00
06/19/2023,16:26:33,0.00,1.44,7.61,0.00
06/19/2023,16:27:02,0.00,1.44,7.61,0.00
06/19/2023,16:27:32,0.00,1.44,7.61,0.00
06/19/2023,16:28:02,0.00,1.44,7.61,0.00
06/19/2023,16:28:32,0.00,1.44,7.61,0.00
06/19/2023,16:28:59,0.00,1.44,7.61,0.00
06/19/2023,16:29:03,0.00,1.44,7.61,0.00
06/19/2023,16:29:33,0.00,1.44,7.61,0.00
06/19/2023,16:30:03,0.00,1.44,7.61,0.00
06/19/2023,16:30:33,0.00,1.44,7.61,0.00
06/19/2023,16:31:03,0.00,1.44,7.61,0.00
06/19/2023,16:31:33,0.00,1.44,7.61,0.00
06/19/2023,16:32:03,0.00,1.44,7.61,0.00
06/19/2023,16:32:33,0.00,1.44,7.61,0.00
06/19/2023,16:33:02,0.00,1.44,7.61,0.00
06/19/2023,16:33:32,0.00,1.44,7.61,0.00
06/19/2023,16:34:02,0.00,1.44,7.61,0.00
06/19/2023,16:34:32,0.00,1.44,7.61,0.00
06/19/2023,16:35:02,0.00,1.44,7.61,0.00
06/19/2023,16:35:32,0.00,1.44,7.61,0.00
06/19/2023,16:36:03,0.00,1.44,7.61,0.00
06/19/2023,16:36:33,0.00,1.44,7.61,0.00
06/19/2023,16:37:02,0.00,1.44,7.61,0.00
06/19/2023,16:37:32,0.00,1.44,7.61,0.00
06/19/2023,16:38:02,0.00,1.44,7.61,0.00
06/19/2023,16:38:32,0.00,1.44,7.61,0.00
06/19/2023,16:39:02,0.00,1.44,7.61,0.00
06/19/2023,16:39:32,0.00,1.44,7.61,0.00
06/19/2023,16:40:02,0.00,1.44,7.61,0.00
06/19/2023,16:40:32,0.00,1.44,7.61,0.00
06/19/2023,16:41:02,0.00,1.44,7.61,0.00
06/19/2023,16:41:32,0.00,1.44,7.61,0.00
06/19/2023,16:42:02,0.00,1.44,7.61,0.00
06/19/2023,16:42:32,0.00,1.44,7.61,0.00
06/19/2023,16:43:03,0.00,1.44,7.61,0.00
06/19/2023,16:43:33,0.00,1.44,7.61,0.00
06/19/2023,16:44:02,0.00,1.44,7.61,0.00
06/19/2023,16:44:32,0.00,1.44,7.61,0.00
06/19/2023,16:45:02,0.00,1.44,7.61,0.00
06/19/2023,16:45:32,0.00,1.44,7.61,0.00
06/19/2023,16:46:02,0.00,1.44,7.61,0.00
06/19/2023,16:46:32,0.00,1.44,7.61,0.00
06/19/2023,16:47:02,0.00,1.44,7.61,0.00
06/19/2023,16:47:10,0.00,1.44,7.61,0.00
06/19/2023,16:47:32,0.00,1.44,7.61,0.00
06/19/2023,16:48:03,0.00,1.44,7.61,0.00
06/19/2023,16:48:33,0.00,1.44,7.61,0.00
06/19/2023,16:49:03,0.00,1.44,7.61,0.00
06/19/2023,16:49:33,0.00,1.44,7.61,0.00
06/19/2023,16:50:02,0.00,1.44,7.61,0.00
06/19/2023,16:50:32,0.00,1.44,7.61,0.00
06/19/2023,16:51:02,0.00,1.44,7.61,0.00
06/19/2023,16:51:32,0.00,1.44,7.61,0.00
06/19/2023,16:52:02,0.00,1.44,7.61,0.00
06/19/2023,16:52:32,0.00,1.44,7.61,0.00
06/19/2023,16:53:02,0.00,1.44,7.61,0.00
06/19/2023,16:53:32,0.00,1.44,7.61,0.00
06/19/2023,16:54:02,0.00,1.44,7.61,0.00
06/19/2023,16:54:32,0.00,1.44,7.61,0.00
06/19/2023,16:55:02,0.00,1.44,7.61,0.00
06/19/2023,16:55:32,0.00,1.44,7.61,0.00
06/19/2023,16:56:02,0.00,1.44,7.61,0.00
06/19/2023,16:56:32,0.00,1.44,7.61,0.00
06/19/2023,16:57:02,0.00,1.44,7.61,0.00
06/19/2023,16:57:32,0.00,1.44,7.61,0.00
06/19/2023,16:58:02,0.00,1.44,7.61,0.00
06/19/2023,16:58:32,0.00,1.44,7.61,0.00
06/19/2023,16:58:32,0.00,1.44,7.61,0.00
06/19/2023,16:59:02,0.00,1.44,7.61,0.00
06/19/2023,16:59:32,0.00,1.44,7.61,0.00
06/19/2023,16:59:43,0.00,1.44,7.61,0.00
06/19/2023,17:00:02,0.00,1.44,7.61,0.00
06/19/2023,17:00:32,0.00,1.44,7.61,0.00
06/19/2023,17:01:02,0.00,1.44,7.61,0.00
06/19/2023,17:01:32,0.00,1.44,7.61,0.00
06/19/2023,17:02:02,0.00,1.44,7.61,0.00
06/19/2023,17:02:32,0.00,1.44,7.61,0.00
06/19/2023,17:03:02,0.00,1.44,7.61,0.00
06/19/2023,17:03:32,0.00,1.44,7.61,0.00
06/19/2023,17:04:02,0.00,1.44,7.61,0.00
06/19/2023,17:04:32,0.00,1.44,7.61,0.00
06/19/2023,17:05:03,0.00,1.44,7.61,0.00
06/19/2023,17:05:33,0.00,1.44,7.61,0.00
06/19/2023,17:06:03,0.00,1.44,7.61,0.00
06/19/2023,17:06:33,0.00,1.44,7.61,0.00
06/19/2023,17:07:02,0.00,1.44,7.61,0.00
06/19/2023,17:07:32,0.00,1.44,7.61,0.00
06/19/2023,17:08:03,0.00,1.44,7.61,0.00
06/19/2023,17:08:33,0.00,1.44,7.61,0.00
06/19/2023,17:09:02,0.00,1.44,7.61,0.00
06/19/2023,17:09:32,0.00,1.44,7.61,0.00
06/19/2023,17:10:02,0.00,1.44,7.61,0.00
06/19/2023,17:10:32,0.00,1.44,7.61,0.00
06/19/2023,17:11:02,0.00,1.44,7.61,0.00
06/19/2023,17:11:07,0.00,1.44,7.61,0.00
06/19/2023,17:11:32,0.00,1.44,7.61,0.00
06/19/2023,17:12:04,0.00,0.00,7.61,0.00
06/19/2023,17:12:48,0.00,0.00,7.61,0.00
06/19/2023,17:13:03,0.00,0.00,7.61,0.00
06/19/2023,17:13:33,0.00,0.00,7.61,0.00
06/19/2023,17:14:02,0.00,0.00,7.61,0.00
06/19/2023,17:14:32,0.00,0.00,7.61,0.00
06/19/2023,17:15:02
06/19/2023,17:15:32,0.00,0.00,7.61,0.00
06/19/2023,17:16:02,0.00,0.00,7.61,0.00
06/19/2023,17:16:32,0.00,0.00,7.61,0.00
06/19/2023,17:17:02,0.00,0.00,7.61,0.00
06/19/2023,17:17:32,0.00,0.00,7.61,0.00
06/19/2023,17:18:03,0.00,0.00,7.61,0.00
06/19/2023,17:18:33,0.00,0.00,7.61,0.00
06/19/2023,17:19:02,0.00,0.00,7.61,0.00
